examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a000300 0000000a t clearInEvents
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a00030a 00000004 t check_main_region_DEBOUNCE_tr0_tr0
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a00030e 00000004 t check_main_region_NO_OPRIMIDO_tr0_tr0
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a000312 00000004 t check_main_region_OPRIMIDO_tr0_tr0
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a000316 00000004 t check_main_region_VALIDACION_tr0_tr0
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a00031a 00000004 t check_main_region_VALIDACION_tr1_tr1
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a00031e 00000006 t enact_main_region_OPRIMIDO
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a000324 0000000a t enseq_main_region_NO_OPRIMIDO_default
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a00032e 00000012 t enseq_main_region_OPRIMIDO_default
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a000340 0000000a t enseq_main_region_VALIDACION_default
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a00034a 00000008 t exseq_main_region_NO_OPRIMIDO
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a000352 00000008 t exseq_main_region_OPRIMIDO
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a00035a 00000010 t effect_main_region_OPRIMIDO_tr0
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a00036a 00000008 t exseq_main_region_VALIDACION
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a000372 00000010 t effect_main_region_VALIDACION_tr0
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a000382 00000010 t effect_main_region_VALIDACION_tr1
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a000392 00000024 t react_main_region_VALIDACION
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a0003b6 00000008 t react_main_region__entry_Default
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a0003be 00000008 t enseq_main_region_default
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a0003c6 0000000c t exact_main_region_DEBOUNCE
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a0003d2 0000000e t exseq_main_region_DEBOUNCE
examples/c/sapi/statecharts/6_mi_prueba/out/6_mi_prueba.elf:1a0003e0 00000010 t effect_main_region_DEBOUNCE_tr0
